Language,Chapter ID,Chapter Name,Chapter Name (Local Script),Lesson ID,Lesson Number,Word,Translation,Pronunciation,Example,Example Translation,Difficulty
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,براہ کرم,Please,barah-e-karam,براہ کرم بیٹھ جائیں,Please sit down,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,خدا حافظ,Goodbye (God protect you),khuda-hafiz,خدا حافظ، پھر ملیں گے,"Goodbye, we will meet again",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,اللہ حافظ,Goodbye (Allah protect you),allah-hafiz,اللہ حافظ، اپنا خیال رکھیں,"Goodbye, take care of yourself",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,فی امان اللہ,May Allah protect you,fi-amaan-allah,فی امان اللہ، سفر محفوظ ہو,"May Allah protect you, have a safe journey",medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,آپ کیسے ہیں؟,How are you? (formal),aap-kaise-hain,السلام علیکم، آپ کیسے ہیں؟,"Peace be upon you, how are you?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,تم کیسے ہو؟,How are you? (informal),tum-kaise-ho,ارے، تم کیسے ہو؟,"Hey, how are you?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,میں ٹھیک ہوں,I am fine,main-theek-hoon,الحمدللہ، میں ٹھیک ہوں,"Thanks to Allah, I am fine",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,الحمدللہ,Praise be to Allah,alhamdulillah,الحمدللہ، سب اچھا ہے,"Praise be to Allah, everything is good",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,ماشاءاللہ,As Allah willed (appreciation),masha-allah,ماشاءاللہ، بہت خوبصورت ہے,"MashaAllah, it's very beautiful",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_2,2,انشاءاللہ,If Allah wills,insha-allah,انشاءاللہ، کل ملیں گے,"God willing, we will meet tomorrow",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,جزاک اللہ,May Allah reward you,jazak-allah,آپ کی مدد کے لیے جزاک اللہ,May Allah reward you for your help,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,مبارک ہو,Congratulations,mubarak-ho,آپ کو عید مبارک ہو,Eid Mubarak to you,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,سالگرہ مبارک,Happy birthday,saalgirah-mubarak,آپ کو سالگرہ مبارک ہو,Happy birthday to you,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,نیا سال مبارک,Happy New Year,naya-saal-mubarak,آپ کو نیا سال مبارک,Happy New Year to you,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,عید مبارک,Eid Mubarak,eid-mubarak,آپ کو اور آپ کے خاندان کو عید مبارک,Eid Mubarak to you and your family,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,آپ کا نام کیا ہے؟,What is your name?,aap-ka-naam-kya-hai,معاف کیجیے، آپ کا نام کیا ہے؟,"Excuse me, what is your name?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,میرا نام ہے,My name is,mera-naam-hai,میرا نام احمد ہے,My name is Ahmad,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,آپ سے مل کر خوشی ہوئی,Nice to meet you,aap-se-mil-kar-khushi-hui,آپ سے مل کر بہت خوشی ہوئی,It was very nice to meet you,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,میں پاکستانی ہوں,I am Pakistani,main-pakistani-hoon,میں پاکستان سے ہوں، میں پاکستانی ہوں,"I am from Pakistan, I am Pakistani",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_3,3,آپ کہاں سے ہیں؟,Where are you from?,aap-kahan-se-hain,معاف کیجیے، آپ کہاں سے ہیں؟,"Excuse me, where are you from?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,ٹھیک ہے,Okay / Alright,theek-hai,ٹھیک ہے، میں آ رہا ہوں,"Okay, I am coming",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,جی ہاں,Yes (formal),jee-haan,جی ہاں، میں سمجھ گیا,"Yes, I understood",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,جی نہیں,No (formal),jee-nahi,جی نہیں، یہ ٹھیک نہیں ہے,"No, this is not correct",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,ہاں,Yes,haan,ہاں، میں جانتا ہوں,"Yes, I know",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,نہیں,No,nahi,نہیں، میں نہیں جاؤں گا,"No, I will not go",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,شاید,Maybe / Perhaps,shayad,شاید وہ کل آئے,Maybe he will come tomorrow,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,ضرور,Surely / Definitely,zaroor,میں ضرور آؤں گا,I will definitely come,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,ابھی,Now / Right now,abhi,میں ابھی آ رہا ہوں,I am coming right now,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,بعد میں,Later,baad-mein,ہم بعد میں بات کریں گے,We will talk later,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_4,4,آج,Today,aaj,آج موسم اچھا ہے,Today the weather is nice,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,کل,Tomorrow / Yesterday,kal,کل ہم ملیں گے,We will meet tomorrow,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,پرسوں,Day after tomorrow / Day before yesterday,parson,میں پرسوں واپس آؤں گا,I will return day after tomorrow,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,خیریت سے,Safely / In good health,khairiyat-se,آپ خیریت سے پہنچ گئے؟,Did you arrive safely?,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,اللہ کا شکر,Thank God,allah-ka-shukar,اللہ کا شکر، سب ٹھیک ہے,"Thank God, everything is fine",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,دعا میں یاد رکھیں,Remember me in your prayers,dua-mein-yaad-rakhein,مجھے دعا میں یاد رکھیں,Remember me in your prayers,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,اللہ آپ کو سلامت رکھے,May Allah keep you safe,allah-aap-ko-salamat-rakhe,اللہ آپ کو ہمیشہ سلامت رکھے,May Allah always keep you safe,medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,پھر ملیں گے,We will meet again,phir-milein-ge,خدا حافظ، پھر ملیں گے,"Goodbye, we will meet again",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,خوش رہیں,Stay happy,khush-rahein,اللہ آپ کو خوش رکھے,May Allah keep you happy,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_5,5,تشریف لائیں,Please come (honorific),tashreef-layein,ہمارے گھر تشریف لائیں,Please come to our home,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,والد,Father,waalid,میرے والد ڈاکٹر ہیں,My father is a doctor,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,ابو,Dad / Father (informal),abu,ابو گھر آ گئے,Dad came home,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,والدہ,Mother,waalida,میری والدہ استانی ہیں,My mother is a teacher,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,امی,Mom / Mother (informal),ammi,امی کھانا بنا رہی ہیں,Mom is cooking food,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,بھائی,Brother,bhai,میرا بھائی انجینئر ہے,My brother is an engineer,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,بہن,Sister,behan,میری بہن ڈاکٹر ہے,My sister is a doctor,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,بیٹا,Son,beta,میرا بیٹا سکول جاتا ہے,My son goes to school,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,بیٹی,Daughter,beti,میری بیٹی پڑھائی کر رہی ہے,My daughter is studying,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,شوہر,Husband,shohar,میرے شوہر کام پر گئے ہیں,My husband went to work,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_1,1,بیوی,Wife,biwi,میری بیوی گھر پر ہیں,My wife is at home,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,دادا,Paternal grandfather,dada,میرے دادا بہت پیارے ہیں,My grandfather is very kind,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,دادی,Paternal grandmother,dadi,دادی کہانیاں سناتی ہیں,Grandmother tells stories,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,نانا,Maternal grandfather,nana,میرے نانا لاہور میں رہتے ہیں,My maternal grandfather lives in Lahore,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,نانی,Maternal grandmother,nani,نانی کا گھر بڑا ہے,Grandmother's house is big,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,چچا,Paternal uncle (father's brother),chacha,چچا کراچی سے آئے ہیں,Uncle came from Karachi,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,چچی,Paternal aunt (uncle's wife),chachi,چچی بہت اچھا کھانا بناتی ہیں,Aunt cooks very good food,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,تایا,Paternal uncle (father's elder brother),taya,تایا ہمارے گھر آئے,Uncle came to our home,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,تائی,Paternal aunt (elder uncle's wife),tai,تائی بہت محبت کرتی ہیں,Aunt loves us very much,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,پھوپھا,Paternal aunt's husband,phuppha,پھوپھا اسلام آباد میں رہتے ہیں,Uncle lives in Islamabad,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_2,2,پھوپھی,Paternal aunt (father's sister),phuphi,پھوپھی ہمیں تحفے دیتی ہیں,Aunt gives us gifts,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,ماموں,Maternal uncle (mother's brother),mamoon,ماموں ٹیچر ہیں,Uncle is a teacher,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,ممانی,Maternal aunt (uncle's wife),mumani,ممانی بہت اچھی ہیں,Aunt is very nice,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,خالہ,Maternal aunt (mother's sister),khala,خالہ کل آ رہی ہیں,Aunt is coming tomorrow,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,خالو,Maternal aunt's husband,khalu,خالو بزنس کرتے ہیں,Uncle does business,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,بھتیجا,Nephew (brother's son),bhatija,میرا بھتیجا پانچ سال کا ہے,My nephew is five years old,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,بھتیجی,Niece (brother's daughter),bhatiji,میری بھتیجی پڑھائی میں ہوشیار ہے,My niece is smart in studies,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,بھانجا,Nephew (sister's son),bhanja,میرا بھانجا کرکٹ کھیلتا ہے,My nephew plays cricket,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,بھانجی,Niece (sister's daughter),bhanji,میری بھانجی بہت پیاری ہے,My niece is very cute,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,پوتا,Grandson (son's son),pota,میرا پوتا سکول جاتا ہے,My grandson goes to school,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_3,3,پوتی,Granddaughter (son's daughter),poti,میری پوتی گانا گاتی ہے,My granddaughter sings,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,نواسا,Grandson (daughter's son),nawasa,نواسا بہت شرارتی ہے,Grandson is very naughty,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,نواسی,Granddaughter (daughter's daughter),nawasi,نواسی پینٹنگ کرتی ہے,Granddaughter does painting,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,کزن,Cousin,cousin,میرا کزن امریکہ میں رہتا ہے,My cousin lives in America,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,سسر,Father-in-law,susur,میرے سسر بہت اچھے ہیں,My father-in-law is very nice,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,ساس,Mother-in-law,saas,میری ساس محبت کرتی ہیں,My mother-in-law loves me,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,سالا,Brother-in-law (wife's brother),sala,میرا سالا انجینئر ہے,My brother-in-law is an engineer,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,سالی,Sister-in-law (wife's sister),sali,میری سالی ڈاکٹر ہے,My sister-in-law is a doctor,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,دیور,Brother-in-law (husband's younger brother),devar,دیور ابھی طالب علم ہے,Brother-in-law is still a student,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,جیٹھ,Brother-in-law (husband's elder brother),jeth,جیٹھ صاحب باہر گئے ہیں,Brother-in-law has gone out,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_4,4,ننھیال,Maternal grandparents' home,nanihaal,ہم ننھیال جا رہے ہیں,We are going to maternal grandparents' home,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,ددھیال,Paternal grandparents' home,dadhiyaal,عید پر ہم ددھیال جائیں گے,We will go to paternal grandparents' home on Eid,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,خاندان,Family,khandaan,میرا خاندان بڑا ہے,My family is big,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,رشتہ دار,Relative,rishta-daar,ہمارے بہت سے رشتہ دار ہیں,We have many relatives,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,بچے,Children,bachche,بچے پارک میں کھیل رہے ہیں,Children are playing in the park,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,بڑے,Elders,bade,بڑوں کی عزت کرو,Respect the elders,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,والدین,Parents,walidain,والدین کی خدمت کرو,Serve your parents,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,اولاد,Offspring / Children,aulaad,اولاد اللہ کی نعمت ہے,Children are a blessing from Allah,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,جڑواں,Twins,judwaan,وہ جڑواں بھائی ہیں,They are twin brothers,medium
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,بڑا بھائی,Elder brother,bara-bhai,میرا بڑا بھائی ڈاکٹر ہے,My elder brother is a doctor,easy
Urdu,urdu_ch2,Family & Relationships,خاندان اور رشتے,urdu_ch2_lesson_5,5,چھوٹی بہن,Younger sister,chhoti-behan,میری چھوٹی بہن سکول میں پڑھتی ہے,My younger sister studies in school,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,کھانا,Food / Meal,khana,کھانا تیار ہے,Food is ready,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,پانی,Water,pani,مجھے پانی چاہیے,I need water,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,روٹی,Bread / Roti,roti,روٹی گرم ہے,The bread is hot,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,چاول,Rice,chawal,آج چاول بنے ہیں,Rice is cooked today,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,دال,Lentils,daal,دال بہت مزیدار ہے,The lentils are very tasty,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,سبزی,Vegetable,sabzi,سبزی صحت کے لیے اچھی ہے,Vegetables are good for health,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,گوشت,Meat,gosht,آج گوشت پکا ہے,Meat is cooked today,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,مرغی,Chicken,murghi,مرغی کا سالن بنایا,Made chicken curry,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,مچھلی,Fish,machhli,مچھلی تازہ ہے,The fish is fresh,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_1,1,انڈا,Egg,anda,ناشتے میں انڈا کھایا,Had egg for breakfast,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,دودھ,Milk,doodh,دودھ پینا صحت کے لیے اچھا ہے,Drinking milk is good for health,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,چائے,Tea,chai,چائے پیں گے؟,Will you have tea?,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,کافی,Coffee,coffee,مجھے کافی پسند ہے,I like coffee,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,شربت,Sweet drink / Sherbet,sharbat,گرمی میں شربت اچھا لگتا ہے,Sherbet feels good in summer,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,لسی,Lassi (yogurt drink),lassi,لسی ٹھنڈی ہے,The lassi is cold,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,پھل,Fruit,phal,پھل کھانا چاہیے,One should eat fruits,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,سیب,Apple,saib,سیب لال ہے,The apple is red,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,کیلا,Banana,kaila,کیلا پک گیا ہے,The banana is ripe,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,آم,Mango,aam,پاکستان کے آم مشہور ہیں,Pakistani mangoes are famous,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_2,2,انگور,Grapes,angoor,انگور میٹھے ہیں,The grapes are sweet,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,نمک,Salt,namak,کھانے میں نمک کم ہے,There is less salt in the food,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,مرچ,Chili / Pepper,mirch,مرچ تیز ہے,The chili is hot/spicy,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,چینی,Sugar,cheeni,چائے میں چینی ڈالیں,Add sugar to the tea,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,تیل,Oil,tail,کھانا تیل میں پکتا ہے,Food cooks in oil,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,گھی,Ghee (clarified butter),ghee,پراٹھے پر گھی لگائیں,Apply ghee on the paratha,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,مکھن,Butter,makkhan,روٹی پر مکھن لگایا,Applied butter on bread,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,دہی,Yogurt,dahi,دہی ٹھنڈا ہے,The yogurt is cold,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,پنیر,Cheese / Paneer,paneer,پنیر سے سالن بنایا,Made curry with paneer,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,بریانی,Biryani,biryani,بریانی بہت مزیدار ہے,The biryani is very delicious,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_3,3,پلاؤ,Pulao,pulao,آج پلاؤ بنایا,Made pulao today,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,قورمہ,Korma,qorma,عید پر قورمہ بنتا ہے,Korma is made on Eid,medium
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,نہاری,Nihari,nihari,نہاری ناشتے میں کھائی,Had nihari for breakfast,medium
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,حلیم,Haleem,haleem,رمضان میں حلیم ملتا ہے,Haleem is available in Ramadan,medium
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,کباب,Kebab,kabab,کباب گرما گرم ہیں,The kebabs are hot,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,سموسہ,Samosa,samosa,چائے کے ساتھ سموسہ کھایا,Had samosa with tea,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,پکوڑے,Pakora (fritters),pakoray,بارش میں پکوڑے اچھے لگتے ہیں,Pakoras taste good in rain,easy
Urdu,urdu_ch3,Food & Dining,کھانا اور کھانے کی اشیاء,urdu_ch3_lesson_4,4,جلیبی,Jalebi,jalebi,جلیبی میٹھی ہے,The jalebi is sweet,easy
